date,srtg_price_idr,TBIG,MDKA,ADRO,AADI,MPMX,AGII,NRCA,jci_idx,nav_idr_bn,nav_per_share_idr,discount_to_nav_pct
2026-01-26,2010.0,1990.0,3450.0,2390.0,8425.0,1025.0,1640.0,1040.0,,70665.42,5215.16,61.46
2026-01-27,1950.0,2020.0,3210.0,2290.0,7950.0,1020.0,1950.0,1010.0,,68785.08,5076.39,61.59
2026-01-28,1810.0,1815.0,3240.0,2210.0,7700.0,1000.0,1840.0,860.0,,66679.55,4921.0,63.22
2026-01-29,1730.0,1840.0,3170.0,2220.0,7400.0,1000.0,2000.0,840.0,,66266.0,4890.48,64.63
2026-01-30,1765.0,1785.0,3210.0,2210.0,7600.0,1000.0,1930.0,810.0,,66225.22,4887.47,63.89
2026-02-02,1600.0,1750.0,2730.0,2140.0,8075.0,1000.0,1750.0,695.0,,63861.01,4712.99,66.05
2026-02-03,1620.0,1800.0,2950.0,2150.0,8300.0,1015.0,1955.0,865.0,,65698.8,4848.62,66.59
2026-02-04,1695.0,1775.0,3030.0,2180.0,8200.0,1010.0,1930.0,860.0,,65902.05,4863.62,65.15
2026-02-05,1695.0,1765.0,3060.0,2100.0,8200.0,1015.0,2200.0,795.0,,65677.66,4847.06,65.03
2026-02-06,1620.0,1695.0,2850.0,2080.0,8025.0,1010.0,2170.0,740.0,,63852.21,4712.34,65.62
2026-02-09,1645.0,1685.0,3040.0,2130.0,7975.0,1005.0,2160.0,785.0,,64849.22,4785.92,65.63
2026-02-10,1695.0,1710.0,3090.0,2170.0,8275.0,1010.0,2250.0,825.0,,65855.57,4860.19,65.12
2026-02-11,1730.0,1745.0,3160.0,2220.0,8600.0,1010.0,2240.0,880.0,,67064.1,4949.38,65.05
2026-02-12,1730.0,1800.0,3190.0,2220.0,8650.0,1020.0,2200.0,845.0,,67665.85,4993.79,65.36
2026-02-13,1765.0,1720.0,3220.0,2220.0,8700.0,1015.0,2160.0,830.0,,67268.16,4964.44,64.45
2026-02-18,1770.0,1750.0,3290.0,2250.0,8900.0,1020.0,2160.0,835.0,,68206.23,5033.67,64.84
2026-02-19,1840.0,1760.0,3530.0,2300.0,9550.0,1020.0,2500.0,835.0,,70523.82,5204.71,64.65
2026-02-20,1840.0,1770.0,3590.0,2300.0,9325.0,1020.0,3120.0,790.0,,70796.58,5224.84,64.78
2026-02-23,1860.0,1745.0,3740.0,2320.0,9300.0,1025.0,3120.0,795.0,,71406.6,5269.86,64.7
2026-02-24,1770.0,1735.0,3790.0,2290.0,8950.0,1020.0,3100.0,760.0,,70991.02,5239.19,66.22
2026-02-25,1815.0,1750.0,3820.0,2370.0,9225.0,1030.0,3150.0,725.0,,71981.26,5312.27,65.83
2026-02-26,1790.0,1700.0,3640.0,2320.0,9250.0,1020.0,3000.0,740.0,,70495.23,5202.6,65.59
2026-02-27,1820.0,1670.0,3750.0,2340.0,9250.0,1025.0,3290.0,725.0,,70995.9,5239.55,65.26
2026-03-02,1845.0,1690.0,3940.0,2410.0,9900.0,1010.0,3300.0,660.0,,73094.53,5394.43,65.8
2026-03-03,1815.0,1700.0,3660.0,2470.0,10575.0,1015.0,3270.0,670.0,,72930.17,5382.3,66.28
2026-03-04,1645.0,1575.0,3430.0,2400.0,10300.0,1005.0,3330.0,620.0,,70276.67,5186.47,68.28
2026-03-05,1675.0,1585.0,3620.0,2430.0,10325.0,1015.0,3330.0,620.0,,71444.54,5272.66,68.23
2026-03-06,1620.0,1575.0,3480.0,2400.0,10300.0,1010.0,3330.0,600.0,,70522.87,5204.64,68.87
2026-03-09,1500.0,1445.0,3330.0,2350.0,10450.0,995.0,3330.0,565.0,,68781.02,5076.09,70.45
2026-03-10,1555.0,1480.0,3500.0,2380.0,10375.0,1005.0,3330.0,600.0,,69919.76,5160.13,69.87
2026-03-11,1555.0,1495.0,3370.0,2350.0,9625.0,1000.0,3330.0,570.0,,68365.31,5045.41,69.18
2026-03-12,1565.0,1520.0,3370.0,2500.0,10175.0,1000.0,3400.0,550.0,,69926.4,5160.62,69.67
2026-03-13,1555.0,1490.0,3190.0,2480.0,10375.0,995.0,3400.0,520.0,,68984.81,5091.13,69.46
2026-03-16,1605.0,1550.0,3060.0,2440.0,10350.0,995.0,3400.0,500.0,,68575.74,5060.94,68.29
2026-03-17,1645.0,1620.0,3310.0,2450.0,10500.0,1000.0,3400.0,500.0,,70495.77,5202.64,68.38
2026-03-25,1700.0,1625.0,3190.0,2630.0,11175.0,1015.0,3390.0,565.0,,71663.1,5288.79,67.86
2026-03-26,1735.0,1640.0,3240.0,2580.0,10975.0,1020.0,3070.0,555.0,,71445.36,5272.72,67.09
2026-03-27,1705.0,1640.0,3230.0,2540.0,10725.0,1010.0,2890.0,560.0,,70832.22,5227.47,67.38
2026-03-30,1745.0,1640.0,3100.0,2620.0,11675.0,1005.0,3400.0,550.0,,71863.78,5303.6,67.1
2026-03-31,1735.0,1625.0,3140.0,2580.0,11275.0,980.0,3600.0,560.0,,71282.08,5260.67,67.02
2026-04-01,1765.0,1640.0,3340.0,2490.0,10625.0,985.0,3400.0,570.0,,71091.16,5246.58,66.36
2026-04-02,1775.0,1625.0,3260.0,2500.0,10850.0,985.0,3330.0,545.0,,70894.01,5232.03,66.07
2026-04-06,1705.0,1625.0,3250.0,2510.0,10875.0,970.0,3310.0,545.0,,70879.78,5230.98,67.41
2026-04-07,1690.0,1630.0,3160.0,2410.0,10550.0,960.0,3230.0,550.0,,69580.61,5135.1,67.09
2026-04-08,1760.0,1680.0,3300.0,2420.0,10200.0,975.0,3370.0,585.0,,70319.76,5189.65,66.09
2026-04-09,1720.0,1680.0,3230.0,2410.0,10200.0,970.0,3230.0,575.0,,69883.99,5157.49,66.65
2026-04-10,1720.0,1715.0,3220.0,2440.0,10125.0,980.0,3330.0,605.0,,70201.19,5180.9,66.8
2026-04-13,1740.0,1730.0,3150.0,2480.0,10450.0,980.0,3210.0,650.0,,70521.79,5204.56,66.57
2026-04-14,1790.0,1755.0,3210.0,2450.0,10300.0,995.0,3160.0,660.0,,70688.18,5216.84,65.69
